-69.8,60.2,39.9
-19.6,52.3,127.6
-13.3,40.4,138.7
-36.6,53.4,122.1
-30.,41.5,135.7
-51.6,54.5,113.6
-47.9,41.8,126.8
-64.5,55.4,102.1
-64.7,43.6,115.1
-73.5,55.,86.5
-77.7,44.6,100.5
-79.3,54.5,69.
-88.6,42.2,82.4
-81.8,53.,51.5
-90.3,43.3,62.6
-81.9,51.8,34.1
-91.6,42.2,43.7
-79.7,50.3,18.
-89.8,41.4,26.7
-76.,48.8,0.6
-87.6,41.4,10.
49.6,55.2,101.1
60.8,55.4,89.3
67.7,57.3,75.4
73.5,59.3,55.
73.9,61.,36.6
63.8,62.8,22.9
61.7,64.3,4.1
49.,68.1,-12.6
89.2,50.5,37.1
98.9,38.,34.
-86.9,39.6,-11.2
30.5,58.7,111.1
39.2,64.2,91.8
48.7,66.2,77.6
53.3,67.9,59.4
57.,68.,41.2
45.8,68.8,27.3
47.7,67.9,9.4
35.1,72.,-7.3
89.2,46.9,53.9
99.7,37.1,53.7
8.5,61.3,114.9
20.2,68.7,98.8
27.1,72.1,81.4
35.1,72.1,63.1
41.2,71.4,44.1
28.2,72.6,29.9
33.3,72.2,14.5
19.4,73.7,-1.5
84.7,44.8,72.9
97.,36.1,70.2
-9.6,62.3,116.1
0.2,71.3,101.4
9.,75.9,83.5
15.9,75.4,66.1
26.1,75.6,49.1
12.8,75.4,32.7
17.2,74.2,15.8
-38.5,66.6,-5.4
75.4,44.9,89.2
89.1,34.1,88.
-27.4,63.2,112.
-17.6,70.5,101.2
-11.2,76.,85.
-1.7,77.6,69.
7.7,78.,49.6
-18.9,77.5,30.9
-31.4,75.6,13.6
-49.9,57.6,-11.3
62.8,44.7,102.7
78.,34.2,103.4
-47.3,63.6,102.6
-35.2,70.3,95.9
-32.3,74.7,82.3
-20.9,77.,65.2
-9.4,78.9,49.8
-35.4,75.7,27.2
-46.3,69.6,9.8
50.6,46.3,113.1
64.5,35.2,115.5
-57.5,61.6,92.3
-49.6,69.9,80.6
-37.8,74.1,64.2
-24.5,78.9,48.
-50.1,71.4,25.3
-58.8,59.,5.8
32.7,48.4,122.5
48.7,38.1,125.2
-63.3,63.5,74.
-52.7,70.7,61.5
-41.3,74.7,45.5
-63.4,63.5,22.4
18.,49.4,128.6
29.8,38.8,134.2
-68.3,62.9,56.7
-56.9,68.8,42.
0.1,50.,129.7
9.3,39.3,140.7
-73.8,-52.2,42.9
-22.5,-35.9,133.8
-14.4,-22.5,142.3
-40.1,-36.8,127.9
-32.1,-20.6,138.7
-57.,-35.8,116.1
-52.3,-21.5,128.6
-69.7,-37.7,105.
-71.,-24.1,114.6
-79.,-37.2,87.8
-82.3,-23.5,97.
-84.8,-38.8,71.2
-89.2,-24.7,81.3
-87.1,-39.3,54.3
-93.3,-25.9,62.5
-87.9,-39.4,36.2
-94.1,-25.3,45.7
-86.8,-39.1,18.7
-93.7,-26.1,29.4
-83.9,-36.5,2.3
-91.2,-26.5,13.3
46.9,-50.7,109.
57.3,-54.4,94.5
64.,-58.5,76.9
63.8,-60.5,62.9
69.3,-59.9,42.7
60.8,-61.4,26.8
57.9,-62.2,11.
50.1,-64.7,-7.3
86.3,-53.6,38.
98.9,-38.5,34.5
-91.,-21.8,-8.
24.4,-49.3,118.
39.1,-59.6,101.
46.,-64.6,84.1
48.1,-65.9,67.7
53.4,-65.7,49.2
46.8,-66.2,32.8
44.6,-65.6,13.6
34.6,-69.5,-2.1
86.3,-53.2,55.8
96.6,-39.3,51.2
5.1,-51.6,119.6
18.2,-62.7,103.4
26.2,-68.2,88.6
29.9,-69.6,69.7
38.2,-70.,52.2
28.6,-69.4,38.6
30.9,-68.3,19.8
19.3,-71.5,5.2
79.3,-49.3,76.1
94.1,-37.5,68.7
-13.5,-49.6,121.5
-2.1,-63.1,106.5
6.8,-68.9,91.5
11.4,-70.4,75.3
22.1,-72.5,56.1
10.6,-73.1,40.
15.9,-69.5,23.5
-40.8,-66.3,1.
71.6,-45.9,92.8
87.3,-35.7,85.9
-31.9,-49.1,117.7
-23.7,-59.9,106.7
-14.2,-68.6,89.9
-7.3,-71.,75.5
4.4,-74.,58.3
-23.8,-73.6,34.9
-34.2,-73.5,19.3
-56.1,-54.7,-5.4
60.2,-41.,108.4
75.8,-34.5,102.3
-53.4,-46.6,108.8
-40.8,-57.5,102.
-34.8,-65.5,87.1
-24.2,-70.5,71.1
-13.6,-73.,57.1
-41.5,-71.3,33.3
-50.8,-64.6,14.6
45.2,-40.9,118.
62.1,-30.2,117.1
-60.5,-49.6,95.4
-52.2,-59.9,83.5
-43.8,-64.3,70.4
-30.1,-72.3,52.8
-56.3,-64.1,29.9
-64.2,-54.9,10.4
32.9,-39.5,125.5
46.5,-28.7,127.8
-67.3,-51.9,78.9
-58.8,-58.9,65.4
-46.1,-67.1,50.4
-67.7,-56.7,24.
15.4,-36.7,131.7
27.7,-27.6,136.
-71.2,-51.1,62.8
-60.4,-61.7,44.2
-4.4,-38.1,134.
9.5,-25.,140.5
-20.7,23.9,144.5
-24.8,-7.4,145.8
-10.6,4.9,148.5
-41.7,23.6,135.5
-42.4,-9.,137.
-31.1,6.3,142.8
-58.6,25.4,123.7
-61.8,-8.5,124.
-51.4,8.2,132.9
-75.4,25.8,110.1
-77.4,-8.7,108.1
-69.,9.4,119.2
-87.2,26.,92.7
-89.6,-7.,89.1
-84.,9.,101.9
-94.9,25.8,71.1
-95.3,-7.1,72.1
-94.,10.2,82.9
-95.7,27.6,53.3
-96.6,-7.6,51.1
-98.9,10.7,60.9
-94.9,26.4,34.7
-99.,-10.1,35.6
-99.8,9.8,43.2
-94.3,27.1,19.4
-95.,-9.4,20.9
-98.3,9.7,27.8
-92.1,25.2,-0.1
-95.1,-7.8,-1.1
-96.8,9.3,13.5
107.1,19.8,42.
106.5,-20.5,41.1
110.4,-1.2,35.1
-95.2,9.4,-3.2
104.6,18.,61.5
104.9,-22.1,60.2
111.,-4.2,52.3
101.1,17.5,80.7
100.8,-21.1,77.5
106.2,-2.2,70.8
89.4,16.6,100.
90.3,-20.8,98.6
99.8,-3.1,89.7
75.,14.2,113.3
75.6,-19.3,112.8
85.8,-1.6,107.3
59.7,17.7,123.3
59.2,-15.5,126.8
68.8,-1.2,120.7
43.,20.3,133.9
41.7,-12.4,137.
52.,0.9,131.7
19.8,21.9,142.6
21.7,-12.1,142.8
31.8,3.3,142.7
0.7,22.9,146.8
-0.7,-10.1,147.7
12.,3.8,147.5
